,Name,Rating,Reviews,Price,Street Name,Zip Code,City,Cluster
0,Shikibu Restaurant,4.5,409,2,Washington,90232,CULVER CITY,1
1,Yama Sushi Sake Attitude,5.0,214,2,National,90064,Los Angeles,1
2,Uzumaki,4.5,669,2,Washington,90232,Culver City,1
3,Izakaya Osen - Los Angeles,4.5,1631,2,Sunset,90026,Los Angeles,0
4,Roll Call - Koreatown,4.5,532,2,Wilshire,90010,Los Angeles,1
5,K-ZO,4.0,923,3,Culver,90232,Culver City,1
6,Sushi Enya - Los Angeles,4.5,1628,3,E,90012,Los Angeles,0
7,Yunomi Handroll,4.5,375,2,E,90013,Los Angeles,1
8,Niko Niko Sushi,4.0,297,2,National,90064,Los Angeles,1
9,Omakase By Osen,4.5,72,4,Sunset,90026,Los Angeles,1
10,Sushi Gen,4.5,4202,3,E,90012,Los Angeles,0
11,Sushi Ippo,4.0,1736,3,Wilshire,90010,Los Angeles,0
12,Haru Omakase Sushi,4.5,45,3,Westwood,90024,Los Angeles,1
13,Sushi Fumi,4.5,479,2,N,90048,Los Angeles,1
14,Kappo Miyabi,4.5,761,0,Arizona,90401,Santa Monica,1
15,Oops! Sushi & Sake Bar,4.0,727,2,W,90064,Los Angeles,1
16,Sushi Sasabune,4.5,1092,4,Wilshire,90025,Los Angeles,1
17,Hide Sushi Japanese Restaurant,4.0,1792,2,Sawtelle,90025,Los Angeles,0
18,Izakaya Tora,4.5,387,3,Santa,90069,West Hollywood,1
19,NDMK Fish House,4.5,495,2,Clarissa,90704,Avalon,1
20,KazuNori  | The Original Hand Roll Bar,4.5,1132,2,Gayley,90024,Los Angeles,1
21,En Sushi,4.0,821,2,Santa,90025,Los Angeles,1
22,Kusaki,4.5,69,0,S,90064,Los Angeles,1
23,The Backhouse,4.0,992,2,W,90064,Los Angeles,1
24,Nishi Poke & Sushi Roll,4.5,249,2,S,90016,Los Angeles,1
25,Ugly Roll Sushi,4.0,715,1,Palms,90034,Los Angeles,1
26,Sushi Beluga,4.5,312,2,Culver,90293,Playa del Rey,1
27,Japonica - El Segundo,4.5,242,2,N,90245,El Segundo,1
28,KazuNori Marina Del Rey,4.5,261,2,Admiralty,90292,Marina Del Rey,1
29,SHU Sushi House Unico,4.5,295,4,1/2,90077,Los Angeles,1
30,Tokyo Cube,4.5,615,2,Cahuenga,90068,Los Angeles,1
31,Sake House By Hikari,3.5,519,2,Culver,90232,Culver City,1
32,Bui Sushi,4.0,335,2,Malibu,90265,Malibu,1
33,Moto Ramen,4.5,393,2,Washington,90232,Culver City,1
34,The Room Sushi Bar,4.0,753,2,Westwood,90025,Los Angeles,1
35,Seabutter - Beverly Hills,4.5,560,3,W,90212,Beverly Hills,1
36,SUGARFISH by sushi nozawa,4.0,1727,3,Admiralty,90292,Marina Del Rey,0
37,Hama Sushi,4.0,1704,3,E,90012,Los Angeles,0
38,Oomasa Restaurant,4.0,1417,2,Japanese,90012,Los Angeles,0
39,Kanpai Japanese Sushi Bar & Grill,4.0,1609,4,Lincoln,90045,Los Angeles,0
40,Nonstop Sushi & Sake Bar Marina Del Rey,4.5,80,0,Del,90292,Marina Del Rey,1
41,Irori Sushi,4.0,2034,3,Glencoe,90292,Marina Del Rey,0
42,Hello Fish,4.0,452,3,S,90020,Los Angeles,1
43,Kinari,4.5,173,2,N,90046,Los Angeles,1
44,KazuNori  | The Original Hand Roll Bar,4.5,3313,2,S,90013,Los Angeles,0
45,Oyabun,4.0,377,0,W,90006,Los Angeles,1
46,Takuma,4.5,484,2,Wilshire,90403,Santa Monica,1
47,Nonstop Sushi & Sake Bar,4.0,598,2,Lincoln,90405,Santa Monica,1
48,Yuko Kitchen - Wilshire,4.5,1874,2,Wilshire,90036,Los Angeles,0
49,n/naka,4.5,904,4,Overland,90034,Los Angeles,1
50,Sushi Miyagi,5.0,102,4,S,90049,Los Angeles,1
51,Kagura El Segundo,4.5,524,2,Main,90245,El Segundo,1
52,Kabosu,4.0,608,2,Riverside,91602,Los Angeles,1
53,Sushi Hon,4.5,333,2,W,90019,Los Angeles,1
54,Minori Sushi,4.0,354,2,S,90035,Los Angeles,1
55,Sushi Tama,4.5,176,0,North,90048,Los Angeles,1
56,Kura Revolving Sushi Bar,3.5,1117,2,Sawtelle,90025,Los Angeles,1
57,Ichijiku Sushi,4.0,90,2,1/2,90042,Los Angeles,1
58,Fiish Sushi,4.0,115,0,Washington,90232,Culver City,1
59,Kabuki Japanese Restaurant,3.5,984,2,Center,90045,Los Angeles,1
60,Robata JINYA - 3rd St.,4.0,1314,2,W,90048,Los Angeles,1
61,Blue Ribbon Sushi,4.0,109,0,Palisades,90272,Pacific Palisades,1
62,Sakura Japanese Restaurant,4.0,970,2,S,90066,Los Angeles,1
63,N Soto,4.5,151,0,W,90016,Los Angeles,1
64,LA LA Sushi,4.0,108,0,Ventura,91604,Los Angeles,1
65,kodō,4.0,130,0,S,90021,Los Angeles,1
66,Hamakaze Sushi Izakaya,4.0,475,2,W,90066,Los Angeles,1
67,Rice & Nori,4.5,625,1,Astronaut,90012,Los Angeles,1
68,Nobu Malibu,4.0,2980,4,Pacific,90265,Malibu,0
69,Sushi Enya - Beverly Hills,4.5,118,0,S,90048,Los Angeles,1
70,Yume Sushi Bar,4.5,282,0,Ventura,91604,Los Angeles,1
71,Here Fishy Fishy,4.5,194,3,Wilshire,90010,Los Angeles,1
72,Koi,4.0,1337,4,N,90069,Los Angeles,1
73,Yamashiro Hollywood,3.5,5328,3,N,90068,Hollywood,0
74,Sawa,4.5,34,0,San,90012,Los Angeles,1
75,Hermanito,4.5,587,3,Sawtelle,90025,Los Angeles,1
76,SUGARFISH by sushi nozawa,4.0,1968,3,2nd,90401,Santa Monica,0
77,Sasabune Express,4.0,125,2,Monument,90272,Pacific Palisades,1
78,Shojin Culver City,4.5,617,3,Washington,90066,Los Angeles,1
79,Moku Sushi,4.5,205,2,Palisades,90272,Pacific Palisades,1
80,Takami Sushi & Robata,4.0,2421,3,Wilshire,90017,Los Angeles,0
81,SUGARFISH by sushi nozawa,4.0,2702,3,W,90017,Los Angeles,0
82,KazuNori: The Original Hand Roll Bar,4.5,716,2,Broadway,90401,Santa Monica,1
83,Sur Sushi,4.5,300,1,Plummer,91343,North Hills,1
84,Sushi Roku,3.5,1100,3,Ocean,90401,Santa Monica,1
85,Tenno Sushi,4.0,2097,2,S,90012,Los Angeles,0
86,Bluewater Grill - Avalon,4.0,2103,2,Crescent,90704,Avalon,0
87,Muraya,4.0,160,2,N,90004,Los Angeles,1
88,Sushi Kura,4.0,433,2,W,90045,Los Angeles,1
89,California Rock'n Sushi - Los Angeles,4.5,301,2,S,90005,Los Angeles,1
90,i.8sushi2go - SAN FERNANDO VALLEY ,4.5,283,2,Stagg,91405,Los Angeles,1
91,Yamakase,4.5,271,4,Santa,90025,Los Angeles,1
92,Sakana Sushi Lounge,4.0,402,2,W,90015,Los Angeles,1
