Name,Rating,Reviews,Price,Location,ReviewsData
Shikibu Restaurant,4.5,410,$$,"{'address1': '10834 Washington Blvd', 'address2': '', 'address3': '', 'city': 'CULVER CITY', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['10834 Washington Blvd', 'CULVER CITY, CA 90232']}","['Chef Thomas and Sophia are the absolute best! The crispy rice is on point, the rolls are delicious, and the way they encourage you to apply the wasabi and...', 'Lovely little neighborhood find! Shikibu is a small (6 seats) restaurant that is serving high quality food. Stopped in for dinner on a Sunday and it was not...', 'Incredible high grade quality flavorful sushi. Everything that touched my mouth was delicious  , I loved the soy sauce container , a personalized touch /...']"
Yama Sushi Sake Attitude,5.0,218,$$,"{'address1': '11709 National Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['11709 National Blvd', 'Los Angeles, CA 90064']}","[""I'm a big fan of the SGV location and loved the high quality of fish, amazing and welcoming customer service. Big congrats to the business for expanding and..."", ""Food - 5/5\nAmazing bang for the buck. It's not just good for the price, but it's good period. \nCalifornia roll - the biggest I've ever seen, with a sweeter..."", 'It was my first time here and I loved that there was ample feee parking and lots of places to eat. There are tables inside the store and outside as...']"
Uzumaki,4.5,672,$$,"{'address1': '11060 Washington Blvd', 'address2': '', 'address3': None, 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['11060 Washington Blvd', 'Culver City, CA 90232']}","[""A perfect find on a rainy night in Manhattan.  Can't say any anything but just try it out yourself for a very cozy Japanese dining experience!"", 'I adore Japanese food, so I often visit Japanese restaurants. But this sushi restaurant is one of my favorites!\n\nThere were many different sushi, rolls, and...', 'Lovely spot for sushi and more on Washington Blvd in Culver. The food is overall delicious. The service is mostly fantastic, though as things get busy, some...']"
Izakaya Osen - Los Angeles,4.5,1634,$$,"{'address1': '2903 Sunset Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90026', 'country': 'US', 'state': 'CA', 'display_address': ['2903 Sunset Blvd', 'Los Angeles, CA 90026']}","['The atmosphere is ok if you like eating outside in plastic sheeting!  The food is good used to be better before covid used to be Less crowded and better...', ""some of the best food i've had in los angeles. really flavorful, good plates to share."", 'I recently had the pleasure of dining at Izakaya Osen, and I must say, it was an absolute delight. From the moment I walked in, I was greeted with warm...']"
K-ZO,4.0,924,$$$,"{'address1': '9240 Culver Blvd', 'address2': None, 'address3': '', 'city': 'Culver City', 'zip_code': '90232', 'country': 'US', 'state': 'CA', 'display_address': ['9240 Culver Blvd', 'Culver City, CA 90232']}","['Contemporary sushi spot in the heart of downtown culver city located next to trader joes. Came here after work on a Friday and was surprisingly seated right...', 'Went there Friday night. Got there around 6:30 and place was pretty empty so I got worried but it filled up pretty quickly. \n\nThe menu is a good mix of...', 'Three stars means ""OK"". That\'s what K-Zo is, it\'s... OK. OK, and expensive. (But on par with the neighborhood.)\n\nA too-busy menu seems to be an...']"
Roll Call - Koreatown,4.5,536,$$,"{'address1': '3183 Wilshire Blvd', 'address2': 'Ste 186', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90010', 'country': 'US', 'state': 'CA', 'display_address': ['3183 Wilshire Blvd', 'Ste 186', 'Los Angeles, CA 90010']}","[""Everything I ordered was given to me. I ordered salmon poke bowls they were so good and the salmon was very fresh. The sauce gave it the perfect touch. I'll..."", 'Are you craving a poke bowl, obento or just sushi??? Why not try it here at Roll Call Sushi? \n\n KoreaTown in L.A.\n3183 Wilshire Blvd. Suite 186 Los Angeles,...', ""A solid sushi spot for rolls and bento boxes!\n\nRoll Call reminds me of a more casual version of a sushi restaurant - they're an order-at-the-register kind...""]"
Sushi Enya - Los Angeles,4.5,1629,$$$,"{'address1': '343 E 1st St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['343 E 1st St', 'Los Angeles, CA 90012']}","['Dont ever try Venice Sushi Enya. \nAs Venice is a franchised trap.\nDTLA Enya is really up there.', '人生不過百年， 終究是緣分二字，對錯並不重要， 擁有的好好珍惜， 逝去的隨風而逝，別太在意，有時淡淡的也自有一番風味～\n\n說到食物通膨的現象， 一樣的餐廳， 2022 年跟2023年比， 漲了20%，...', ""Best birthday dinner I've ever had!! Both my friend and I had such a great experience dining here. We sat at the bar and the service was phenomenal and...""]"
Yunomi Handroll,4.5,379,$$,"{'address1': '806 E 3rd St', 'address2': 'Ste 100', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['806 E 3rd St', 'Ste 100', 'Los Angeles, CA 90013']}","[""I'm a big fan of Kazunori, so this seemed like a natural follow up.\nThe atmosphere is just like Kazunori too. Bar style seats with the server and dim..."", 'You know me ;) (iykyk) I will give you a review on ambiance, service and food, but this is the first place I am reviewing the actual seat. Sticky...', 'Good quality hand-rolls and very reasonably priced!\nSeaweed was nice and crunchy. Rice was good. \nIt is bar type seating and the rolls are made in front of...']"
Niko Niko Sushi,4.0,298,$$,"{'address1': '10839 National Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90064', 'country': 'US', 'state': 'CA', 'display_address': ['10839 National Blvd', 'Los Angeles, CA 90064']}","['I recently dined at Niko Niko on a Saturday night and had a great experience! It was nice to not have to wait for a table at 7:30 pm, and we were greeted by...', ""Came here with a friend a while back because I was craving some sushi but didn't want to go too far so I found a small spot nearby. \n\nI was so surprised by..."", 'Well-prepared and excellent quality of sushi. Taste so fresh rice and fish. So many great item, great experience dining there. The food selection is so...']"
Omakase By Osen,4.5,75,$$$$,"{'address1': '3503 Sunset Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90026', 'country': 'US', 'state': 'CA', 'display_address': ['3503 Sunset Blvd', 'Los Angeles, CA 90026']}","[""By far one of the best value for omakase. It left me feeling full and I'm a guy that prides himself in eating large portions. The chef and staff were very..."", 'Very nice and calm atmosphere. Service was on point and informative. \nFood was tasty and a true experience. My favorites where the jelly with ponzu sauce,...', ""I was extremely excited about trying out Omakase by Osen, being a regular at Izakaya Osen for many years now.  \n\nLocation/Parking: It's also located on...""]"
